,text,label
0,cell1 should be greater than cl2,0
1,zdl should be greater than yka5,0
2,oS1 should be less or equal to d2,3
3,dZS1 should be less or equal to gf4,3
4,t1 should be greater or equal to c2,2
5,element3 should be greater or equal to cheeze4,2
6,jinkiz2 should be less than fjk4,1
7,computer10 should be less than mouse19,1
8,rd5 should be the same as dr3,4
9,paper5 should be equal to cable3,4
10,thknl2 should not be the same as ll7,5
11,fruit1 should be different than phone4,5
12,ciy1 should exceed sd2.,0
13,The sales of product1 should be higher than the sales of product3.,0
14,The population of country3 should surpass the population of country6.,0
15,The marathon time for runner1 should be faster than the time for runner5.,0
16,The number of likes on post1 should be greater than the number of likes on post4.,0
17,The IQ score of student3 should be higher than the IQ score of student7.,0
18,The price of stock1 should be greater than the price of stock9.,0
19,The weight of box2 should be greater than the weight of box3.,0
20,nt13 should be greater than zdt4,0
21,The rating of movie1 should be higher than the rating of movie6.,0
22,The length of song2 should be longer than the length of song8.,0
23,The speed of car1 should be greater than the speed of car4.,0
24,The age of person2 should be greater than the age of person5.,0
25,The budget for project1 should exceed the budget for project9.,0
26,The height of tree1 should be greater than the height of tree2.,0
27,The volume of container1 should be greater than the volume of container3.,0
28,The salary of employee1 should be higher than the salary of employee7.,0
29,The score of team1 should be greater than the score of team3.,0
30,The attendance at event1 should be higher than the attendance at event4.,0
31,The horsepower of engine2 should be greater than the horsepower of engine6.,0
32,The brightness of light1 should be greater than the brightness of light5.,0
33,stt1 should be higher than GPt3.,0
34,The number of subscribers for channel2 should be higher than the number of subscribers for channel9.,0
35,The level of pollution in GF should be greater than the level of pollution in f4.,0
36,The income of household1 should be higher than the income of household6.,0
37,The age of og1 should be less than or equal to the age of d.,3
38,The quantity of supplies in szdck2 should be less than or equal to the quantity in szfk.,3
39,The price of item1 should be less than or equal to the price of item5.,3
40,The height of mountain1 should be less than or equal to the height of mountain4.,3
41,The duration of flight2 should be less than the duration of flight6.,1
42,The temperature in T3SK1 should be lower than the temperature in im2.,1
43,The sales of prod0 should exceed the sales of duct.,0
44,sz123 should be less than coqz6.,1
45,ruer should be slower than r5.,1
46,meof should be fewer than zl4.,1
47,IQ3 should be lower than the IQ7.,1
48,The price1 should be less than the price9.,1
49,b2 should be less than hez.,1
