,problem,problem_entities
0,The separation between point1 and point 3 should not equal 7,"[{""start"": 0, ""end"": 22, ""type"": ""DESC"", ""entity"": ""The separation between""}, {""start"": 23, ""end"": 41, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""point1 and point 3""}, {""start"": 41, ""end"": 48, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 49, ""end"": 58, ""type"": ""ne"", ""entity"": ""not equal""}, {""start"": 59, ""end"": 60, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""7""}, {""start"": 60, ""end"": 59, ""type"": ""DESC"", ""entity"": """"}]"
1,The gap from location1 to location2 must not match 9,"[{""start"": 0, ""end"": 12, ""type"": ""DESC"", ""entity"": ""The gap from""}, {""start"": 13, ""end"": 35, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""location1 to location2""}, {""start"": 35, ""end"": 40, ""type"": ""DESC"", ""entity"": "" must""}, {""start"": 41, ""end"": 49, ""type"": ""ne"", ""entity"": ""not matc""}, {""start"": 49, ""end"": 50, ""type"": ""DESC"", ""entity"": ""h""}, {""start"": 51, ""end"": 52, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""9""}, {""start"": 52, ""end"": 51, ""type"": ""DESC"", ""entity"": """"}]"
2,The measure of separation between reference point1 and reference point2 should not equal 8,"[{""start"": 0, ""end"": 33, ""type"": ""DESC"", ""entity"": ""The measure of separation between""}, {""start"": 34, ""end"": 71, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""reference point1 and reference point2""}, {""start"": 71, ""end"": 78, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 79, ""end"": 88, ""type"": ""ne"", ""entity"": ""not equal""}, {""start"": 89, ""end"": 90, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""8""}, {""start"": 90, ""end"": 89, ""type"": ""DESC"", ""entity"": """"}]"
3,The length between landmark3 and landmark4 must be dissimilar to 10,"[{""start"": 0, ""end"": 18, ""type"": ""DESC"", ""entity"": ""The length between""}, {""start"": 19, ""end"": 42, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""landmark3 and landmark4""}, {""start"": 42, ""end"": 50, ""type"": ""DESC"", ""entity"": "" must be""}, {""start"": 51, ""end"": 61, ""type"": ""ne"", ""entity"": ""dissimilar""}, {""start"": 61, ""end"": 64, ""type"": ""DESC"", ""entity"": "" to""}, {""start"": 65, ""end"": 67, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""10""}, {""start"": 67, ""end"": 66, ""type"": ""DESC"", ""entity"": """"}]"
4,The gap between position 3 and position 8 should not equal 20,"[{""start"": 0, ""end"": 15, ""type"": ""DESC"", ""entity"": ""The gap between""}, {""start"": 16, ""end"": 41, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""position 3 and position 8""}, {""start"": 41, ""end"": 48, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 49, ""end"": 58, ""type"": ""ne"", ""entity"": ""not equal""}, {""start"": 59, ""end"": 61, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""20""}, {""start"": 61, ""end"": 60, ""type"": ""DESC"", ""entity"": """"}]"
5,The distance between marker1 and marker2 should be distinct from 0,"[{""start"": 0, ""end"": 20, ""type"": ""DESC"", ""entity"": ""The distance between""}, {""start"": 21, ""end"": 40, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""marker1 and marker2""}, {""start"": 40, ""end"": 47, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 48, ""end"": 59, ""type"": ""ne"", ""entity"": ""be distinct""}, {""start"": 59, ""end"": 64, ""type"": ""DESC"", ""entity"": "" from""}, {""start"": 65, ""end"": 66, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""0""}, {""start"": 66, ""end"": 65, ""type"": ""DESC"", ""entity"": """"}]"
6,The separation between reference spot 3 and reference spot 7 should contrast with 3,"[{""start"": 0, ""end"": 22, ""type"": ""DESC"", ""entity"": ""The separation between""}, {""start"": 23, ""end"": 60, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""reference spot 3 and reference spot 7""}, {""start"": 60, ""end"": 67, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 68, ""end"": 76, ""type"": ""ne"", ""entity"": ""contrast""}, {""start"": 76, ""end"": 81, ""type"": ""DESC"", ""entity"": "" with""}, {""start"": 82, ""end"": 83, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""3""}, {""start"": 83, ""end"": 82, ""type"": ""DESC"", ""entity"": """"}]"
7,The length between point 2 and point 3 should be different than 8,"[{""start"": 0, ""end"": 18, ""type"": ""DESC"", ""entity"": ""The length between""}, {""start"": 19, ""end"": 38, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""point 2 and point 3""}, {""start"": 38, ""end"": 45, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 46, ""end"": 58, ""type"": ""ne"", ""entity"": ""be different""}, {""start"": 58, ""end"": 63, ""type"": ""DESC"", ""entity"": "" than""}, {""start"": 64, ""end"": 65, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""8""}, {""start"": 65, ""end"": 64, ""type"": ""DESC"", ""entity"": """"}]"
8,The separation between point1 and point 3 should not equal 7.,"[{""start"": 0, ""end"": 22, ""type"": ""DESC"", ""entity"": ""The separation between""}, {""start"": 23, ""end"": 41, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""point1 and point 3""}, {""start"": 41, ""end"": 48, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 49, ""end"": 58, ""type"": ""ne"", ""entity"": ""not equal""}, {""start"": 59, ""end"": 60, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""7""}, {""start"": 60, ""end"": 60, ""type"": ""DESC"", ""entity"": "".""}]"
9,The gap from location7 to location4 must not match 9.,"[{""start"": 0, ""end"": 12, ""type"": ""DESC"", ""entity"": ""The gap from""}, {""start"": 13, ""end"": 35, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""location7 to location4""}, {""start"": 35, ""end"": 40, ""type"": ""DESC"", ""entity"": "" must""}, {""start"": 41, ""end"": 50, ""type"": ""ne"", ""entity"": ""not match""}, {""start"": 51, ""end"": 52, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""9""}, {""start"": 52, ""end"": 52, ""type"": ""DESC"", ""entity"": "".""}]"
10,The measure of separation between reference point2 and reference point9 should not equal 8.,"[{""start"": 0, ""end"": 33, ""type"": ""DESC"", ""entity"": ""The measure of separation between""}, {""start"": 34, ""end"": 71, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""reference point2 and reference point9""}, {""start"": 71, ""end"": 78, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 79, ""end"": 88, ""type"": ""ne"", ""entity"": ""not equal""}, {""start"": 89, ""end"": 90, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""8""}, {""start"": 90, ""end"": 90, ""type"": ""DESC"", ""entity"": "".""}]"
11,The length between landmark9 and landmark4 must be dissimilar to 10.,"[{""start"": 0, ""end"": 18, ""type"": ""DESC"", ""entity"": ""The length between""}, {""start"": 19, ""end"": 42, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""landmark9 and landmark4""}, {""start"": 42, ""end"": 47, ""type"": ""DESC"", ""entity"": "" must""}, {""start"": 48, ""end"": 61, ""type"": ""ne"", ""entity"": ""be dissimilar""}, {""start"": 61, ""end"": 64, ""type"": ""DESC"", ""entity"": "" to""}, {""start"": 65, ""end"": 67, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""10""}, {""start"": 67, ""end"": 67, ""type"": ""DESC"", ""entity"": "".""}]"
12,The gap between position 3 and position 8 should not equal 20.,"[{""start"": 0, ""end"": 15, ""type"": ""DESC"", ""entity"": ""The gap between""}, {""start"": 16, ""end"": 41, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""position 3 and position 8""}, {""start"": 41, ""end"": 48, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 49, ""end"": 58, ""type"": ""ne"", ""entity"": ""not equal""}, {""start"": 59, ""end"": 61, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""20""}, {""start"": 61, ""end"": 61, ""type"": ""DESC"", ""entity"": "".""}]"
13,The distance between marker1 and marker2 should be distinct from 0.,"[{""start"": 0, ""end"": 20, ""type"": ""DESC"", ""entity"": ""The distance between""}, {""start"": 21, ""end"": 40, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""marker1 and marker2""}, {""start"": 40, ""end"": 47, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 48, ""end"": 59, ""type"": ""ne"", ""entity"": ""be distinct""}, {""start"": 59, ""end"": 64, ""type"": ""DESC"", ""entity"": "" from""}, {""start"": 65, ""end"": 66, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""0""}, {""start"": 66, ""end"": 66, ""type"": ""DESC"", ""entity"": "".""}]"
14,The separation between reference spot 3 and reference spot 7 should contrast with 3.,"[{""start"": 0, ""end"": 22, ""type"": ""DESC"", ""entity"": ""The separation between""}, {""start"": 23, ""end"": 60, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""reference spot 3 and reference spot 7""}, {""start"": 60, ""end"": 67, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 68, ""end"": 76, ""type"": ""ne"", ""entity"": ""contrast""}, {""start"": 76, ""end"": 81, ""type"": ""DESC"", ""entity"": "" with""}, {""start"": 82, ""end"": 83, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""3""}, {""start"": 83, ""end"": 83, ""type"": ""DESC"", ""entity"": "".""}]"
15,The length between point 2 and point 3 should be different than 8.,"[{""start"": 0, ""end"": 18, ""type"": ""DESC"", ""entity"": ""The length between""}, {""start"": 19, ""end"": 38, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""point 2 and point 3""}, {""start"": 38, ""end"": 48, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 49, ""end"": 63, ""type"": ""ne"", ""entity"": ""different than""}, {""start"": 64, ""end"": 65, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""8""}, {""start"": 65, ""end"": 65, ""type"": ""DESC"", ""entity"": "".""}]"
16,The gap between node5 and node9 should not exceed 12.,"[{""start"": 0, ""end"": 15, ""type"": ""DESC"", ""entity"": ""The gap between""}, {""start"": 16, ""end"": 31, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""node5 and node9""}, {""start"": 31, ""end"": 38, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 39, ""end"": 49, ""type"": ""lt"", ""entity"": ""not exceed""}, {""start"": 50, ""end"": 52, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""12""}, {""start"": 52, ""end"": 52, ""type"": ""DESC"", ""entity"": "".""}]"
17,The measure of separation between vertex4 and vertex8 must not be equal to 15.,"[{""start"": 0, ""end"": 33, ""type"": ""DESC"", ""entity"": ""The measure of separation between""}, {""start"": 34, ""end"": 53, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""vertex4 and vertex8""}, {""start"": 53, ""end"": 58, ""type"": ""DESC"", ""entity"": "" must""}, {""start"": 59, ""end"": 71, ""type"": ""ne"", ""entity"": ""not be equal""}, {""start"": 71, ""end"": 74, ""type"": ""DESC"", ""entity"": "" to""}, {""start"": 75, ""end"": 77, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""15""}, {""start"": 77, ""end"": 77, ""type"": ""DESC"", ""entity"": "".""}]"
18,The separation between point1 and point3 should equal 7.,"[{""start"": 0, ""end"": 22, ""type"": ""DESC"", ""entity"": ""The separation between""}, {""start"": 23, ""end"": 40, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""point1 and point3""}, {""start"": 40, ""end"": 47, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 48, ""end"": 53, ""type"": ""eq"", ""entity"": ""equal""}, {""start"": 54, ""end"": 55, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""7""}, {""start"": 55, ""end"": 55, ""type"": ""DESC"", ""entity"": "".""}]"
19,The gap from location1 to location2 must match 9.,"[{""start"": 0, ""end"": 12, ""type"": ""DESC"", ""entity"": ""The gap from""}, {""start"": 13, ""end"": 35, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""location1 to location2""}, {""start"": 35, ""end"": 40, ""type"": ""DESC"", ""entity"": "" must""}, {""start"": 41, ""end"": 46, ""type"": ""eq"", ""entity"": ""match""}, {""start"": 47, ""end"": 48, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""9""}, {""start"": 48, ""end"": 48, ""type"": ""DESC"", ""entity"": "".""}]"
20,The measure of separation between reference point1 and reference point2 should equal 8.,"[{""start"": 0, ""end"": 33, ""type"": ""DESC"", ""entity"": ""The measure of separation between""}, {""start"": 34, ""end"": 71, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""reference point1 and reference point2""}, {""start"": 71, ""end"": 78, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 79, ""end"": 84, ""type"": ""eq"", ""entity"": ""equal""}, {""start"": 85, ""end"": 86, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""8""}, {""start"": 86, ""end"": 86, ""type"": ""DESC"", ""entity"": "".""}]"
21,The length between landmark3 and landmark4 must be exactly 10.,"[{""start"": 0, ""end"": 18, ""type"": ""DESC"", ""entity"": ""The length between""}, {""start"": 19, ""end"": 42, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""landmark3 and landmark4""}, {""start"": 42, ""end"": 47, ""type"": ""DESC"", ""entity"": "" must""}, {""start"": 48, ""end"": 58, ""type"": ""eq"", ""entity"": ""be exactly""}, {""start"": 59, ""end"": 61, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""10""}, {""start"": 61, ""end"": 61, ""type"": ""DESC"", ""entity"": "".""}]"
22,The gap between position3 and position8 should equal 20.,"[{""start"": 0, ""end"": 15, ""type"": ""DESC"", ""entity"": ""The gap between""}, {""start"": 16, ""end"": 39, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""position3 and position8""}, {""start"": 39, ""end"": 46, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 47, ""end"": 52, ""type"": ""eq"", ""entity"": ""equal""}, {""start"": 53, ""end"": 55, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""20""}, {""start"": 55, ""end"": 55, ""type"": ""DESC"", ""entity"": "".""}]"
23,The distance between marker1 and marker2 should be identical to 0.,"[{""start"": 0, ""end"": 20, ""type"": ""DESC"", ""entity"": ""The distance between""}, {""start"": 21, ""end"": 40, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""marker1 and marker2""}, {""start"": 40, ""end"": 47, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 48, ""end"": 59, ""type"": ""eq"", ""entity"": ""be identica""}, {""start"": 59, ""end"": 63, ""type"": ""DESC"", ""entity"": ""l to""}, {""start"": 64, ""end"": 65, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""0""}, {""start"": 65, ""end"": 65, ""type"": ""DESC"", ""entity"": "".""}]"
24,The separation between reference spot3 and reference spot7 should be precisely 3.,"[{""start"": 0, ""end"": 22, ""type"": ""DESC"", ""entity"": ""The separation between""}, {""start"": 23, ""end"": 58, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""reference spot3 and reference spot7""}, {""start"": 58, ""end"": 65, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 66, ""end"": 78, ""type"": ""eq"", ""entity"": ""be precisely""}, {""start"": 79, ""end"": 80, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""3""}, {""start"": 80, ""end"": 80, ""type"": ""DESC"", ""entity"": "".""}]"
25,The length between point2 and point3 should be equal to 8.,"[{""start"": 0, ""end"": 18, ""type"": ""DESC"", ""entity"": ""The length between""}, {""start"": 19, ""end"": 36, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""point2 and point3""}, {""start"": 36, ""end"": 43, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 44, ""end"": 52, ""type"": ""eq"", ""entity"": ""be equal""}, {""start"": 52, ""end"": 55, ""type"": ""DESC"", ""entity"": "" to""}, {""start"": 56, ""end"": 57, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""8""}, {""start"": 57, ""end"": 57, ""type"": ""DESC"", ""entity"": "".""}]"
26,The distance between node1 and node5 should equal 12.,"[{""start"": 0, ""end"": 20, ""type"": ""DESC"", ""entity"": ""The distance between""}, {""start"": 21, ""end"": 36, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""node1 and node5""}, {""start"": 36, ""end"": 43, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 44, ""end"": 49, ""type"": ""eq"", ""entity"": ""equal""}, {""start"": 50, ""end"": 52, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""12""}, {""start"": 52, ""end"": 52, ""type"": ""DESC"", ""entity"": "".""}]"
