,problem,problem_entities
0,The separation between point1 and point 3 should not equal the separation between point8 and point9.,"[{'start': 0, 'end': 22, 'type': 'DESC', 'entity': 'The separation between'}, {'start': 23, 'end': 29, 'type': 'Dist_Left_Elm_1', 'entity': 'point1'}, {'start': 29, 'end': 33, 'type': 'DESC', 'entity': ' and'}, {'start': 34, 'end': 41, 'type': 'Dist_Left_Elm_2', 'entity': 'point 3'}, {'start': 41, 'end': 48, 'type': 'DESC', 'entity': ' should'}, {'start': 49, 'end': 58, 'type': 'DESC', 'entity': 'not equal'}, {'start': 58, 'end': 81, 'type': 'DESC', 'entity': ' the separation between'}, {'start': 82, 'end': 88, 'type': 'Dist_Right_Elm_1', 'entity': 'point8'}, {'start': 88, 'end': 92, 'type': 'DESC', 'entity': ' and'}, {'start': 93, 'end': 99, 'type': 'Dist_Right_Elm_2', 'entity': 'point9'}, {'start': 99, 'end': 99, 'type': 'DESC', 'entity': '.'}]"
1,The gap from location1 to location2 must not match the gap from location4 to location8.,"[{'start': 0, 'end': 12, 'type': 'DESC', 'entity': 'The gap from'}, {'start': 13, 'end': 22, 'type': 'Dist_Left_Elm_1', 'entity': 'location1'}, {'start': 22, 'end': 25, 'type': 'DESC', 'entity': ' to'}, {'start': 26, 'end': 35, 'type': 'Dist_Left_Elm_2', 'entity': 'location2'}, {'start': 35, 'end': 40, 'type': 'DESC', 'entity': ' must'}, {'start': 41, 'end': 50, 'type': 'DESC', 'entity': 'not match'}, {'start': 50, 'end': 63, 'type': 'DESC', 'entity': ' the gap from'}, {'start': 64, 'end': 73, 'type': 'Dist_Right_Elm_1', 'entity': 'location4'}, {'start': 73, 'end': 76, 'type': 'DESC', 'entity': ' to'}, {'start': 77, 'end': 86, 'type': 'Dist_Right_Elm_2', 'entity': 'location8'}, {'start': 86, 'end': 86, 'type': 'DESC', 'entity': '.'}]"
2,The interval between checkpoint2 and checkpoint1 ought to differ from the interval between checkpoint9 and checkpoint19.,"[{'start': 0, 'end': 20, 'type': 'DESC', 'entity': 'The interval between'}, {'start': 21, 'end': 32, 'type': 'Dist_Left_Elm_1', 'entity': 'checkpoint2'}, {'start': 32, 'end': 36, 'type': 'DESC', 'entity': ' and'}, {'start': 37, 'end': 48, 'type': 'Dist_Left_Elm_2', 'entity': 'checkpoint1'}, {'start': 48, 'end': 57, 'type': 'DESC', 'entity': ' ought to'}, {'start': 58, 'end': 64, 'type': 'DESC', 'entity': 'differ'}, {'start': 64, 'end': 90, 'type': 'DESC', 'entity': ' from the interval between'}, {'start': 91, 'end': 102, 'type': 'Dist_Right_Elm_1', 'entity': 'checkpoint9'}, {'start': 102, 'end': 106, 'type': 'DESC', 'entity': ' and'}, {'start': 107, 'end': 119, 'type': 'Dist_Right_Elm_2', 'entity': 'checkpoint19'}, {'start': 119, 'end': 119, 'type': 'DESC', 'entity': '.'}]"
3,The space separating spot1 and spot2 should not mirror the space separating spot3 and spot2.,"[{'start': 0, 'end': 20, 'type': 'DESC', 'entity': 'The space separating'}, {'start': 21, 'end': 26, 'type': 'Dist_Left_Elm_1', 'entity': 'spot1'}, {'start': 26, 'end': 30, 'type': 'DESC', 'entity': ' and'}, {'start': 31, 'end': 36, 'type': 'Dist_Left_Elm_2', 'entity': 'spot2'}, {'start': 36, 'end': 43, 'type': 'DESC', 'entity': ' should'}, {'start': 44, 'end': 54, 'type': 'DESC', 'entity': 'not mirror'}, {'start': 54, 'end': 75, 'type': 'DESC', 'entity': ' the space separating'}, {'start': 76, 'end': 81, 'type': 'Dist_Right_Elm_1', 'entity': 'spot3'}, {'start': 81, 'end': 85, 'type': 'DESC', 'entity': ' and'}, {'start': 86, 'end': 91, 'type': 'Dist_Right_Elm_2', 'entity': 'spot2'}, {'start': 91, 'end': 91, 'type': 'DESC', 'entity': '.'}]"
4,The span between node9 and node 7 must contrast with the span between node88 and node 7.,"[{'start': 0, 'end': 16, 'type': 'DESC', 'entity': 'The span between'}, {'start': 17, 'end': 22, 'type': 'Dist_Left_Elm_1', 'entity': 'node9'}, {'start': 22, 'end': 26, 'type': 'DESC', 'entity': ' and'}, {'start': 27, 'end': 33, 'type': 'Dist_Left_Elm_2', 'entity': 'node 7'}, {'start': 33, 'end': 38, 'type': 'DESC', 'entity': ' must'}, {'start': 39, 'end': 52, 'type': 'DESC', 'entity': 'contrast with'}, {'start': 52, 'end': 69, 'type': 'DESC', 'entity': ' the span between'}, {'start': 70, 'end': 76, 'type': 'Dist_Right_Elm_1', 'entity': 'node88'}, {'start': 76, 'end': 80, 'type': 'DESC', 'entity': ' and'}, {'start': 81, 'end': 87, 'type': 'Dist_Right_Elm_2', 'entity': 'node 7'}, {'start': 87, 'end': 87, 'type': 'DESC', 'entity': '.'}]"
5,The distance from destination 1 to destination 2 should not replicate the distance from destination 3 to destination 4.,"[{'start': 0, 'end': 17, 'type': 'DESC', 'entity': 'The distance from'}, {'start': 18, 'end': 31, 'type': 'Dist_Left_Elm_1', 'entity': 'destination 1'}, {'start': 31, 'end': 34, 'type': 'DESC', 'entity': ' to'}, {'start': 35, 'end': 48, 'type': 'Dist_Left_Elm_2', 'entity': 'destination 2'}, {'start': 48, 'end': 55, 'type': 'DESC', 'entity': ' should'}, {'start': 56, 'end': 69, 'type': 'DESC', 'entity': 'not replicate'}, {'start': 69, 'end': 87, 'type': 'DESC', 'entity': ' the distance from'}, {'start': 88, 'end': 101, 'type': 'Dist_Right_Elm_1', 'entity': 'destination 3'}, {'start': 101, 'end': 104, 'type': 'DESC', 'entity': ' to'}, {'start': 105, 'end': 118, 'type': 'Dist_Right_Elm_2', 'entity': 'destination 4'}, {'start': 118, 'end': 118, 'type': 'DESC', 'entity': '.'}]"
6,The measure of separation between reference point1 and reference point2 should deviate from the measure of separation between reference point9 and reference point10.,"[{'start': 0, 'end': 43, 'type': 'DESC', 'entity': 'The measure of separation between reference'}, {'start': 44, 'end': 50, 'type': 'Dist_Left_Elm_1', 'entity': 'point1'}, {'start': 50, 'end': 64, 'type': 'DESC', 'entity': ' and reference'}, {'start': 65, 'end': 71, 'type': 'Dist_Left_Elm_2', 'entity': 'point2'}, {'start': 71, 'end': 78, 'type': 'DESC', 'entity': ' should'}, {'start': 79, 'end': 86, 'type': 'DESC', 'entity': 'deviate'}, {'start': 86, 'end': 135, 'type': 'DESC', 'entity': ' from the measure of separation between reference'}, {'start': 136, 'end': 142, 'type': 'Dist_Right_Elm_1', 'entity': 'point9'}, {'start': 142, 'end': 156, 'type': 'DESC', 'entity': ' and reference'}, {'start': 157, 'end': 164, 'type': 'Dist_Right_Elm_2', 'entity': 'point10'}, {'start': 164, 'end': 164, 'type': 'DESC', 'entity': '.'}]"
7,The length between landmark3 and landmark4 must be dissimilar to the length between landmark5 and landmark99.,"[{'start': 0, 'end': 18, 'type': 'DESC', 'entity': 'The length between'}, {'start': 19, 'end': 28, 'type': 'Dist_Left_Elm_1', 'entity': 'landmark3'}, {'start': 28, 'end': 32, 'type': 'DESC', 'entity': ' and'}, {'start': 33, 'end': 42, 'type': 'Dist_Left_Elm_2', 'entity': 'landmark4'}, {'start': 42, 'end': 50, 'type': 'DESC', 'entity': ' must be'}, {'start': 51, 'end': 61, 'type': 'DESC', 'entity': 'dissimilar'}, {'start': 61, 'end': 83, 'type': 'DESC', 'entity': ' to the length between'}, {'start': 84, 'end': 93, 'type': 'Dist_Right_Elm_1', 'entity': 'landmark5'}, {'start': 93, 'end': 97, 'type': 'DESC', 'entity': ' and'}, {'start': 98, 'end': 108, 'type': 'Dist_Right_Elm_2', 'entity': 'landmark99'}, {'start': 108, 'end': 108, 'type': 'DESC', 'entity': '.'}]"
8,The gap between position 3 and position 8 should not resemble the gap between position 9 and position 10.,"[{'start': 0, 'end': 15, 'type': 'DESC', 'entity': 'The gap between'}, {'start': 16, 'end': 26, 'type': 'Dist_Left_Elm_1', 'entity': 'position 3'}, {'start': 26, 'end': 30, 'type': 'DESC', 'entity': ' and'}, {'start': 31, 'end': 41, 'type': 'Dist_Left_Elm_2', 'entity': 'position 8'}, {'start': 41, 'end': 77, 'type': 'DESC', 'entity': ' should not resemble the gap between'}, {'start': 78, 'end': 88, 'type': 'Dist_Right_Elm_1', 'entity': 'position 9'}, {'start': 88, 'end': 92, 'type': 'DESC', 'entity': ' and'}, {'start': 93, 'end': 104, 'type': 'Dist_Right_Elm_2', 'entity': 'position 10'}, {'start': 104, 'end': 104, 'type': 'DESC', 'entity': '.'}]"
9,The difference in distance between marker1 and marker2 should be distinct from the difference in distance between marker3 and marker 9.,"[{'start': 0, 'end': 34, 'type': 'DESC', 'entity': 'The difference in distance between'}, {'start': 35, 'end': 42, 'type': 'Dist_Left_Elm_1', 'entity': 'marker1'}, {'start': 42, 'end': 46, 'type': 'DESC', 'entity': ' and'}, {'start': 47, 'end': 54, 'type': 'Dist_Left_Elm_2', 'entity': 'marker2'}, {'start': 54, 'end': 64, 'type': 'DESC', 'entity': ' should be'}, {'start': 65, 'end': 73, 'type': 'DESC', 'entity': 'distinct'}, {'start': 73, 'end': 113, 'type': 'DESC', 'entity': ' from the difference in distance between'}, {'start': 114, 'end': 121, 'type': 'Dist_Right_Elm_1', 'entity': 'marker3'}, {'start': 121, 'end': 125, 'type': 'DESC', 'entity': ' and'}, {'start': 126, 'end': 134, 'type': 'Dist_Right_Elm_2', 'entity': 'marker 9'}, {'start': 134, 'end': 134, 'type': 'DESC', 'entity': '.'}]"
