,problem,problem_entities
0,cell1 should be greater than cl2,"[{""start"": 0, ""end"": 5, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""cell1""}, {""start"": 5, ""end"": 15, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 16, ""end"": 28, ""type"": ""gt"", ""entity"": ""greater than""}, {""start"": 29, ""end"": 32, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""cl2""}, {""start"": 32, ""end"": 31, ""type"": ""DESC"", ""entity"": """"}]"
1,zdl should be greater than yka5,"[{""start"": 0, ""end"": 3, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""zdl""}, {""start"": 3, ""end"": 13, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 14, ""end"": 26, ""type"": ""gt"", ""entity"": ""greater than""}, {""start"": 27, ""end"": 31, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""yka5""}, {""start"": 31, ""end"": 30, ""type"": ""DESC"", ""entity"": """"}]"
2,oS1 should be less or equal to d2,"[{""start"": 0, ""end"": 3, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""oS1""}, {""start"": 3, ""end"": 13, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 14, ""end"": 30, ""type"": ""le"", ""entity"": ""less or equal to""}, {""start"": 31, ""end"": 33, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""d2""}, {""start"": 33, ""end"": 32, ""type"": ""DESC"", ""entity"": """"}]"
3,dZS1 should be less or equal to gf4,"[{""start"": 0, ""end"": 4, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""dZS1""}, {""start"": 4, ""end"": 14, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 15, ""end"": 31, ""type"": ""le"", ""entity"": ""less or equal to""}, {""start"": 32, ""end"": 35, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""gf4""}, {""start"": 35, ""end"": 34, ""type"": ""DESC"", ""entity"": """"}]"
4,t1 should be greater or equal to c2,"[{""start"": 0, ""end"": 2, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""t1""}, {""start"": 2, ""end"": 12, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 13, ""end"": 32, ""type"": ""ge"", ""entity"": ""greater or equal to""}, {""start"": 33, ""end"": 35, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""c2""}, {""start"": 35, ""end"": 34, ""type"": ""DESC"", ""entity"": """"}]"
5,element3 should be greater or equal to cheeze4,"[{""start"": 0, ""end"": 8, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""element3""}, {""start"": 8, ""end"": 18, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 19, ""end"": 38, ""type"": ""ge"", ""entity"": ""greater or equal to""}, {""start"": 39, ""end"": 46, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""cheeze4""}, {""start"": 46, ""end"": 45, ""type"": ""DESC"", ""entity"": """"}]"
6,jinkiz2 should be less than fjk4,"[{""start"": 0, ""end"": 7, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""jinkiz2""}, {""start"": 7, ""end"": 17, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 18, ""end"": 27, ""type"": ""lt"", ""entity"": ""less than""}, {""start"": 28, ""end"": 32, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""fjk4""}, {""start"": 32, ""end"": 31, ""type"": ""DESC"", ""entity"": """"}]"
7,computer10 should be less than mouse19,"[{""start"": 0, ""end"": 10, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""computer10""}, {""start"": 10, ""end"": 20, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 21, ""end"": 30, ""type"": ""lt"", ""entity"": ""less than""}, {""start"": 31, ""end"": 38, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""mouse19""}, {""start"": 38, ""end"": 37, ""type"": ""DESC"", ""entity"": """"}]"
8,rd5 should be the same as dr3,"[{""start"": 0, ""end"": 3, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""rd5""}, {""start"": 3, ""end"": 10, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 11, ""end"": 25, ""type"": ""eq"", ""entity"": ""be the same as""}, {""start"": 26, ""end"": 29, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""dr3""}, {""start"": 29, ""end"": 28, ""type"": ""DESC"", ""entity"": """"}]"
9,paper5 should be equal to cable3,"[{""start"": 0, ""end"": 6, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""paper5""}, {""start"": 6, ""end"": 16, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 17, ""end"": 25, ""type"": ""eq"", ""entity"": ""equal to""}, {""start"": 26, ""end"": 32, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""cable3""}, {""start"": 32, ""end"": 31, ""type"": ""DESC"", ""entity"": """"}]"
