,problem,problem_entities
0,the value of cell1 should be greater than 5,"[{""start"": 0, ""end"": 12, ""type"": ""DESC"", ""entity"": ""the value of""}, {""start"": 13, ""end"": 18, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""cell1""}, {""start"": 18, ""end"": 28, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 29, ""end"": 41, ""type"": ""gt"", ""entity"": ""greater than""}, {""start"": 42, ""end"": 43, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""5""}, {""start"": 43, ""end"": 42, ""type"": ""DESC"", ""entity"": """"}]"
1,the temperature of the room 3 must be greater than 24,"[{""start"": 0, ""end"": 22, ""type"": ""DESC"", ""entity"": ""the temperature of the""}, {""start"": 23, ""end"": 29, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""room 3""}, {""start"": 29, ""end"": 37, ""type"": ""DESC"", ""entity"": "" must be""}, {""start"": 38, ""end"": 50, ""type"": ""gt"", ""entity"": ""greater than""}, {""start"": 51, ""end"": 53, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""24""}, {""start"": 53, ""end"": 52, ""type"": ""DESC"", ""entity"": """"}]"
2,the value of familly 4 must be greater than 10,"[{""start"": 0, ""end"": 12, ""type"": ""DESC"", ""entity"": ""the value of""}, {""start"": 13, ""end"": 22, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""familly 4""}, {""start"": 22, ""end"": 30, ""type"": ""DESC"", ""entity"": "" must be""}, {""start"": 31, ""end"": 43, ""type"": ""gt"", ""entity"": ""greater than""}, {""start"": 44, ""end"": 46, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""10""}, {""start"": 46, ""end"": 45, ""type"": ""DESC"", ""entity"": """"}]"
3,The quantity in box3 should exceed 100 units.,"[{""start"": 0, ""end"": 15, ""type"": ""DESC"", ""entity"": ""The quantity in""}, {""start"": 16, ""end"": 20, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""box3""}, {""start"": 20, ""end"": 27, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 28, ""end"": 34, ""type"": ""gt"", ""entity"": ""exceed""}, {""start"": 35, ""end"": 38, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""100""}, {""start"": 38, ""end"": 44, ""type"": ""DESC"", ""entity"": "" units.""}]"
4,The speed of the car1 must surpass 80 kilometers per hour.,"[{""start"": 0, ""end"": 16, ""type"": ""DESC"", ""entity"": ""The speed of the""}, {""start"": 17, ""end"": 21, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""car1""}, {""start"": 21, ""end"": 26, ""type"": ""DESC"", ""entity"": "" must""}, {""start"": 27, ""end"": 34, ""type"": ""gt"", ""entity"": ""surpass""}, {""start"": 35, ""end"": 37, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""80""}, {""start"": 37, ""end"": 57, ""type"": ""DESC"", ""entity"": "" kilometers per hour.""}]"
5,"The sales revenue for the month5 should be higher than $10,000.","[{""start"": 0, ""end"": 25, ""type"": ""DESC"", ""entity"": ""The sales revenue for the""}, {""start"": 26, ""end"": 32, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""month5""}, {""start"": 32, ""end"": 42, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 43, ""end"": 54, ""type"": ""gt"", ""entity"": ""higher than""}, {""start"": 54, ""end"": 55, ""type"": ""DESC"", ""entity"": "" ""}, {""start"": 56, ""end"": 62, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""10,000""}, {""start"": 62, ""end"": 62, ""type"": ""DESC"", ""entity"": "".""}]"
6,The length of the rope 2 must extend beyond 2 meters.,"[{""start"": 0, ""end"": 17, ""type"": ""DESC"", ""entity"": ""The length of the""}, {""start"": 18, ""end"": 24, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""rope 2""}, {""start"": 24, ""end"": 29, ""type"": ""DESC"", ""entity"": "" must""}, {""start"": 30, ""end"": 43, ""type"": ""gt"", ""entity"": ""extend beyond""}, {""start"": 44, ""end"": 45, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""2""}, {""start"": 45, ""end"": 52, ""type"": ""DESC"", ""entity"": "" meters.""}]"
7,The level of humidity in the greenhouse9 should rise above 70%.,"[{""start"": 0, ""end"": 28, ""type"": ""DESC"", ""entity"": ""The level of humidity in the""}, {""start"": 29, ""end"": 40, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""greenhouse9""}, {""start"": 40, ""end"": 47, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 48, ""end"": 58, ""type"": ""gt"", ""entity"": ""rise above""}, {""start"": 59, ""end"": 61, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""70""}, {""start"": 61, ""end"": 62, ""type"": ""DESC"", ""entity"": ""%.""}]"
8,The number of likes on the post 19 needs to exceed 500.,"[{""start"": 0, ""end"": 26, ""type"": ""DESC"", ""entity"": ""The number of likes on the""}, {""start"": 27, ""end"": 34, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""post 19""}, {""start"": 34, ""end"": 43, ""type"": ""DESC"", ""entity"": "" needs to""}, {""start"": 44, ""end"": 50, ""type"": ""gt"", ""entity"": ""exceed""}, {""start"": 51, ""end"": 54, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""500""}, {""start"": 54, ""end"": 54, ""type"": ""DESC"", ""entity"": "".""}]"
9,The concentration of sugar in the solution3 must be greater than 5%.,"[{""start"": 0, ""end"": 33, ""type"": ""DESC"", ""entity"": ""The concentration of sugar in the""}, {""start"": 34, ""end"": 43, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""solution3""}, {""start"": 43, ""end"": 51, ""type"": ""DESC"", ""entity"": "" must be""}, {""start"": 52, ""end"": 64, ""type"": ""gt"", ""entity"": ""greater than""}, {""start"": 65, ""end"": 66, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""5""}, {""start"": 66, ""end"": 67, ""type"": ""DESC"", ""entity"": ""%.""}]"
