,problem,problem_entities
0,The separation between marker5 and point 3 should not equal 7,"[{""start"": 0, ""end"": 22, ""type"": ""DESC"", ""entity"": ""The separation between""}, {""start"": 23, ""end"": 30, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""marker5""}, {""start"": 30, ""end"": 34, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 35, ""end"": 42, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""point 3""}, {""start"": 42, ""end"": 49, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 50, ""end"": 59, ""type"": ""DistneValue"", ""entity"": ""not equal""}, {""start"": 60, ""end"": 61, ""type"": ""Parameter"", ""entity"": ""7""}, {""start"": 61, ""end"": 60, ""type"": ""DESC"", ""entity"": """"}]"
1,The gap from location1 to location2 must not match 9,"[{""start"": 0, ""end"": 12, ""type"": ""DESC"", ""entity"": ""The gap from""}, {""start"": 13, ""end"": 22, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""location1""}, {""start"": 22, ""end"": 25, ""type"": ""DESC"", ""entity"": "" to""}, {""start"": 26, ""end"": 35, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""location2""}, {""start"": 35, ""end"": 40, ""type"": ""DESC"", ""entity"": "" must""}, {""start"": 41, ""end"": 50, ""type"": ""DistneValue"", ""entity"": ""not match""}, {""start"": 51, ""end"": 52, ""type"": ""Parameter"", ""entity"": ""9""}, {""start"": 52, ""end"": 51, ""type"": ""DESC"", ""entity"": """"}]"
2,The measure of separation between reference g5 and reference dog should not equal 8,"[{""start"": 0, ""end"": 43, ""type"": ""DESC"", ""entity"": ""The measure of separation between reference""}, {""start"": 44, ""end"": 46, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""g5""}, {""start"": 46, ""end"": 60, ""type"": ""DESC"", ""entity"": "" and reference""}, {""start"": 61, ""end"": 64, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""dog""}, {""start"": 64, ""end"": 71, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 72, ""end"": 81, ""type"": ""DistneValue"", ""entity"": ""not equal""}, {""start"": 82, ""end"": 83, ""type"": ""Parameter"", ""entity"": ""8""}, {""start"": 83, ""end"": 82, ""type"": ""DESC"", ""entity"": """"}]"
3,The length between landmark3 and landmark4 must be dissimilar to 10,"[{""start"": 0, ""end"": 18, ""type"": ""DESC"", ""entity"": ""The length between""}, {""start"": 19, ""end"": 28, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""landmark3""}, {""start"": 28, ""end"": 32, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 33, ""end"": 42, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""landmark4""}, {""start"": 42, ""end"": 47, ""type"": ""DESC"", ""entity"": "" must""}, {""start"": 48, ""end"": 64, ""type"": ""DistneValue"", ""entity"": ""be dissimilar to""}, {""start"": 65, ""end"": 67, ""type"": ""Parameter"", ""entity"": ""10""}, {""start"": 67, ""end"": 66, ""type"": ""DESC"", ""entity"": """"}]"
4,The gap between position 3 and position 8 should not equal 20,"[{""start"": 0, ""end"": 15, ""type"": ""DESC"", ""entity"": ""The gap between""}, {""start"": 16, ""end"": 26, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""position 3""}, {""start"": 26, ""end"": 30, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 31, ""end"": 41, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""position 8""}, {""start"": 41, ""end"": 48, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 49, ""end"": 58, ""type"": ""DistneValue"", ""entity"": ""not equal""}, {""start"": 59, ""end"": 61, ""type"": ""Parameter"", ""entity"": ""20""}, {""start"": 61, ""end"": 60, ""type"": ""DESC"", ""entity"": """"}]"
5,The distance between marker1 and marker2 should be distinct from 0,"[{""start"": 0, ""end"": 20, ""type"": ""DESC"", ""entity"": ""The distance between""}, {""start"": 21, ""end"": 28, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""marker1""}, {""start"": 28, ""end"": 32, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 33, ""end"": 40, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""marker2""}, {""start"": 40, ""end"": 47, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 48, ""end"": 59, ""type"": ""DistneValue"", ""entity"": ""be distinct""}, {""start"": 59, ""end"": 64, ""type"": ""DESC"", ""entity"": "" from""}, {""start"": 65, ""end"": 66, ""type"": ""Parameter"", ""entity"": ""0""}, {""start"": 66, ""end"": 65, ""type"": ""DESC"", ""entity"": """"}]"
6,The separation between reference spot 3 and reference spot 7 should contrast with 3,"[{""start"": 0, ""end"": 32, ""type"": ""DESC"", ""entity"": ""The separation between reference""}, {""start"": 33, ""end"": 39, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""spot 3""}, {""start"": 39, ""end"": 53, ""type"": ""DESC"", ""entity"": "" and reference""}, {""start"": 54, ""end"": 60, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""spot 7""}, {""start"": 60, ""end"": 67, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 68, ""end"": 81, ""type"": ""DistneValue"", ""entity"": ""contrast with""}, {""start"": 82, ""end"": 83, ""type"": ""Parameter"", ""entity"": ""3""}, {""start"": 83, ""end"": 82, ""type"": ""DESC"", ""entity"": """"}]"
7,The length between point 2 and point 8 should be different than 8,"[{""start"": 0, ""end"": 18, ""type"": ""DESC"", ""entity"": ""The length between""}, {""start"": 19, ""end"": 26, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""point 2""}, {""start"": 26, ""end"": 30, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 31, ""end"": 38, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""point 8""}, {""start"": 38, ""end"": 45, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 46, ""end"": 63, ""type"": ""DistneValue"", ""entity"": ""be different than""}, {""start"": 64, ""end"": 65, ""type"": ""Parameter"", ""entity"": ""8""}, {""start"": 65, ""end"": 64, ""type"": ""DESC"", ""entity"": """"}]"
8,The separation between p77 and A8 should not equal 7.,"[{""start"": 0, ""end"": 22, ""type"": ""DESC"", ""entity"": ""The separation between""}, {""start"": 23, ""end"": 26, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""p77""}, {""start"": 26, ""end"": 30, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 31, ""end"": 33, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""A8""}, {""start"": 33, ""end"": 40, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 41, ""end"": 50, ""type"": ""DistneValue"", ""entity"": ""not equal""}, {""start"": 51, ""end"": 52, ""type"": ""Parameter"", ""entity"": ""7""}, {""start"": 52, ""end"": 52, ""type"": ""DESC"", ""entity"": "".""}]"
9,The gap from location7 to location4 must not match 9.,"[{""start"": 0, ""end"": 12, ""type"": ""DESC"", ""entity"": ""The gap from""}, {""start"": 13, ""end"": 22, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""location7""}, {""start"": 22, ""end"": 25, ""type"": ""DESC"", ""entity"": "" to""}, {""start"": 26, ""end"": 35, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""location4""}, {""start"": 35, ""end"": 40, ""type"": ""DESC"", ""entity"": "" must""}, {""start"": 41, ""end"": 50, ""type"": ""DistneValue"", ""entity"": ""not match""}, {""start"": 51, ""end"": 52, ""type"": ""Parameter"", ""entity"": ""9""}, {""start"": 52, ""end"": 52, ""type"": ""DESC"", ""entity"": "".""}]"
