,problem,problem_entities
0,A should be greater than 9,"[{'start': 0, 'end': 1, 'type': 'VARIABLE', 'entity': 'A'}, {'start': 1, 'end': 11, 'type': 'DESC', 'entity': ' should be'}, {'start': 12, 'end': 24, 'type': 'DESC', 'entity': 'greater than'}, {'start': 25, 'end': 26, 'type': 'PARAMETER', 'entity': '9'}, {'start': 26, 'end': 25, 'type': 'DESC', 'entity': ''}]"
1,U must be greater than 13,"[{'start': 0, 'end': 1, 'type': 'VARIABLE', 'entity': 'U'}, {'start': 1, 'end': 9, 'type': 'DESC', 'entity': ' must be'}, {'start': 10, 'end': 22, 'type': 'DESC', 'entity': 'greater than'}, {'start': 23, 'end': 25, 'type': 'PARAMETER', 'entity': '13'}, {'start': 25, 'end': 24, 'type': 'DESC', 'entity': ''}]"
2,The quantity Ypsilon must surpass 0.,"[{'start': 0, 'end': 12, 'type': 'DESC', 'entity': 'The quantity'}, {'start': 13, 'end': 20, 'type': 'VARIABLE', 'entity': 'Ypsilon'}, {'start': 20, 'end': 25, 'type': 'DESC', 'entity': ' must'}, {'start': 26, 'end': 33, 'type': 'DESC', 'entity': 'surpass'}, {'start': 34, 'end': 35, 'type': 'PARAMETER', 'entity': '0'}, {'start': 35, 'end': 35, 'type': 'DESC', 'entity': '.'}]"
3,Ensure that Bravo is of a magnitude greater than 9.,"[{'start': 0, 'end': 11, 'type': 'DESC', 'entity': 'Ensure that'}, {'start': 12, 'end': 17, 'type': 'VARIABLE', 'entity': 'Bravo'}, {'start': 17, 'end': 35, 'type': 'DESC', 'entity': ' is of a magnitude'}, {'start': 36, 'end': 48, 'type': 'DESC', 'entity': 'greater than'}, {'start': 49, 'end': 50, 'type': 'PARAMETER', 'entity': '9'}, {'start': 50, 'end': 50, 'type': 'DESC', 'entity': '.'}]"
4,It is imperative that Tango exceeds a value of 3.,"[{'start': 0, 'end': 21, 'type': 'DESC', 'entity': 'It is imperative that'}, {'start': 22, 'end': 27, 'type': 'VARIABLE', 'entity': 'Tango'}, {'start': 28, 'end': 35, 'type': 'DESC', 'entity': 'exceeds'}, {'start': 35, 'end': 46, 'type': 'DESC', 'entity': ' a value of'}, {'start': 47, 'end': 48, 'type': 'PARAMETER', 'entity': '3'}, {'start': 48, 'end': 48, 'type': 'DESC', 'entity': '.'}]"
5,The condition demands that Gamma surpasses -4.,"[{'start': 0, 'end': 26, 'type': 'DESC', 'entity': 'The condition demands that'}, {'start': 27, 'end': 32, 'type': 'VARIABLE', 'entity': 'Gamma'}, {'start': 33, 'end': 42, 'type': 'DESC', 'entity': 'surpasses'}, {'start': 43, 'end': 45, 'type': 'PARAMETER', 'entity': '-4'}, {'start': 45, 'end': 45, 'type': 'DESC', 'entity': '.'}]"
6,The threshold for H3 must be set higher than 6.,"[{'start': 0, 'end': 17, 'type': 'DESC', 'entity': 'The threshold for'}, {'start': 18, 'end': 20, 'type': 'VARIABLE', 'entity': 'H3'}, {'start': 20, 'end': 32, 'type': 'DESC', 'entity': ' must be set'}, {'start': 33, 'end': 44, 'type': 'DESC', 'entity': 'higher than'}, {'start': 45, 'end': 46, 'type': 'PARAMETER', 'entity': '6'}, {'start': 46, 'end': 46, 'type': 'DESC', 'entity': '.'}]"
7,The stipulation necessitates that Juliet is greater than -77.,"[{'start': 0, 'end': 33, 'type': 'DESC', 'entity': 'The stipulation necessitates that'}, {'start': 34, 'end': 40, 'type': 'VARIABLE', 'entity': 'Juliet'}, {'start': 40, 'end': 43, 'type': 'DESC', 'entity': ' is'}, {'start': 44, 'end': 56, 'type': 'DESC', 'entity': 'greater than'}, {'start': 57, 'end': 60, 'type': 'PARAMETER', 'entity': '-77'}, {'start': 60, 'end': 60, 'type': 'DESC', 'entity': '.'}]"
8,The prescribed requirement is that Kilo exceeds 23.,"[{'start': 0, 'end': 34, 'type': 'DESC', 'entity': 'The prescribed requirement is that'}, {'start': 35, 'end': 39, 'type': 'VARIABLE', 'entity': 'Kilo'}, {'start': 40, 'end': 47, 'type': 'DESC', 'entity': 'exceeds'}, {'start': 48, 'end': 50, 'type': 'PARAMETER', 'entity': '23'}, {'start': 50, 'end': 50, 'type': 'DESC', 'entity': '.'}]"
9,It is a requirement for cc9 to be greater than 344.,"[{'start': 0, 'end': 23, 'type': 'DESC', 'entity': 'It is a requirement for'}, {'start': 24, 'end': 27, 'type': 'VARIABLE', 'entity': 'cc9'}, {'start': 27, 'end': 33, 'type': 'DESC', 'entity': ' to be'}, {'start': 34, 'end': 46, 'type': 'DESC', 'entity': 'greater than'}, {'start': 47, 'end': 50, 'type': 'PARAMETER', 'entity': '344'}, {'start': 50, 'end': 50, 'type': 'DESC', 'entity': '.'}]"
10,Charlie8 needs to have a magnitude greater than 39.,"[{'start': 0, 'end': 8, 'type': 'VARIABLE', 'entity': 'Charlie8'}, {'start': 8, 'end': 34, 'type': 'DESC', 'entity': ' needs to have a magnitude'}, {'start': 35, 'end': 47, 'type': 'DESC', 'entity': 'greater than'}, {'start': 48, 'end': 50, 'type': 'PARAMETER', 'entity': '39'}, {'start': 50, 'end': 50, 'type': 'DESC', 'entity': '.'}]"
11,I must attain a value greater than 67.,"[{'start': 0, 'end': 1, 'type': 'VARIABLE', 'entity': 'I'}, {'start': 1, 'end': 21, 'type': 'DESC', 'entity': ' must attain a value'}, {'start': 22, 'end': 34, 'type': 'DESC', 'entity': 'greater than'}, {'start': 35, 'end': 37, 'type': 'PARAMETER', 'entity': '67'}, {'start': 37, 'end': 37, 'type': 'DESC', 'entity': '.'}]"
12,It is necessary for J to be greater than -7.,"[{'start': 0, 'end': 19, 'type': 'DESC', 'entity': 'It is necessary for'}, {'start': 20, 'end': 21, 'type': 'VARIABLE', 'entity': 'J'}, {'start': 21, 'end': 27, 'type': 'DESC', 'entity': ' to be'}, {'start': 28, 'end': 40, 'type': 'DESC', 'entity': 'greater than'}, {'start': 41, 'end': 43, 'type': 'PARAMETER', 'entity': '-7'}, {'start': 43, 'end': 43, 'type': 'DESC', 'entity': '.'}]"
13,It is essential that MK be above 23 in value.,"[{'start': 0, 'end': 20, 'type': 'DESC', 'entity': 'It is essential that'}, {'start': 21, 'end': 23, 'type': 'VARIABLE', 'entity': 'MK'}, {'start': 23, 'end': 26, 'type': 'DESC', 'entity': ' be'}, {'start': 27, 'end': 32, 'type': 'DESC', 'entity': 'above'}, {'start': 33, 'end': 35, 'type': 'PARAMETER', 'entity': '23'}, {'start': 35, 'end': 44, 'type': 'DESC', 'entity': ' in value.'}]"
14,Y must exceed 92.,"[{'start': 0, 'end': 1, 'type': 'VARIABLE', 'entity': 'Y'}, {'start': 1, 'end': 6, 'type': 'DESC', 'entity': ' must'}, {'start': 7, 'end': 13, 'type': 'DESC', 'entity': 'exceed'}, {'start': 14, 'end': 16, 'type': 'PARAMETER', 'entity': '92'}, {'start': 16, 'end': 16, 'type': 'DESC', 'entity': '.'}]"
15,Z should be greater than 45.,"[{'start': 0, 'end': 1, 'type': 'VARIABLE', 'entity': 'Z'}, {'start': 1, 'end': 11, 'type': 'DESC', 'entity': ' should be'}, {'start': 12, 'end': 24, 'type': 'DESC', 'entity': 'greater than'}, {'start': 25, 'end': 27, 'type': 'PARAMETER', 'entity': '45'}, {'start': 27, 'end': 27, 'type': 'DESC', 'entity': '.'}]"
