,problem,problem_entities
0,The separation between rxs5 and point 3 should not equal 7,"[{""start"": 0, ""end"": 22, ""type"": ""DESC"", ""entity"": ""The separation between""}, {""start"": 23, ""end"": 27, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""rxs5""}, {""start"": 27, ""end"": 31, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 32, ""end"": 39, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""point 3""}, {""start"": 39, ""end"": 46, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 47, ""end"": 56, ""type"": ""DistneValue"", ""entity"": ""not equal""}, {""start"": 57, ""end"": 58, ""type"": ""Parameter"", ""entity"": ""7""}, {""start"": 58, ""end"": 57, ""type"": ""DESC"", ""entity"": """"}]"
1,The gap from location1 to location2 must not match 9,"[{""start"": 0, ""end"": 12, ""type"": ""DESC"", ""entity"": ""The gap from""}, {""start"": 13, ""end"": 22, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""location1""}, {""start"": 22, ""end"": 25, ""type"": ""DESC"", ""entity"": "" to""}, {""start"": 26, ""end"": 35, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""location2""}, {""start"": 35, ""end"": 40, ""type"": ""DESC"", ""entity"": "" must""}, {""start"": 41, ""end"": 50, ""type"": ""DistneValue"", ""entity"": ""not match""}, {""start"": 51, ""end"": 52, ""type"": ""Parameter"", ""entity"": ""9""}, {""start"": 52, ""end"": 51, ""type"": ""DESC"", ""entity"": """"}]"
2,The measure of separation between g5 and reg should not equal 8,"[{""start"": 0, ""end"": 33, ""type"": ""DESC"", ""entity"": ""The measure of separation between""}, {""start"": 34, ""end"": 36, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""g5""}, {""start"": 36, ""end"": 40, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 41, ""end"": 44, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""reg""}, {""start"": 44, ""end"": 51, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 52, ""end"": 61, ""type"": ""DistneValue"", ""entity"": ""not equal""}, {""start"": 62, ""end"": 63, ""type"": ""Parameter"", ""entity"": ""8""}, {""start"": 63, ""end"": 62, ""type"": ""DESC"", ""entity"": """"}]"
3,The gap between position 3 and position 8 should not equal 20,"[{""start"": 0, ""end"": 15, ""type"": ""DESC"", ""entity"": ""The gap between""}, {""start"": 16, ""end"": 26, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""position 3""}, {""start"": 26, ""end"": 30, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 31, ""end"": 41, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""position 8""}, {""start"": 41, ""end"": 48, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 49, ""end"": 58, ""type"": ""DistneValue"", ""entity"": ""not equal""}, {""start"": 59, ""end"": 61, ""type"": ""Parameter"", ""entity"": ""20""}, {""start"": 61, ""end"": 60, ""type"": ""DESC"", ""entity"": """"}]"
4,The length between QwEr and dTyHj should be different than 8.,"[{""start"": 0, ""end"": 18, ""type"": ""DESC"", ""entity"": ""The length between""}, {""start"": 19, ""end"": 23, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""QwEr""}, {""start"": 23, ""end"": 27, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 28, ""end"": 33, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""dTyHj""}, {""start"": 33, ""end"": 43, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 44, ""end"": 58, ""type"": ""DistneValue"", ""entity"": ""different than""}, {""start"": 59, ""end"": 60, ""type"": ""Parameter"", ""entity"": ""8""}, {""start"": 60, ""end"": 60, ""type"": ""DESC"", ""entity"": "".""}]"
5,The separation between p77 and A8 should not equal 7.,"[{""start"": 0, ""end"": 22, ""type"": ""DESC"", ""entity"": ""The separation between""}, {""start"": 23, ""end"": 26, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""p77""}, {""start"": 26, ""end"": 30, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 31, ""end"": 33, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""A8""}, {""start"": 33, ""end"": 40, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 41, ""end"": 50, ""type"": ""DistneValue"", ""entity"": ""not equal""}, {""start"": 51, ""end"": 52, ""type"": ""Parameter"", ""entity"": ""7""}, {""start"": 52, ""end"": 52, ""type"": ""DESC"", ""entity"": "".""}]"
6,The gap between on 3 and posi8 should not equal 20.,"[{""start"": 0, ""end"": 15, ""type"": ""DESC"", ""entity"": ""The gap between""}, {""start"": 16, ""end"": 20, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""on 3""}, {""start"": 20, ""end"": 24, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 25, ""end"": 30, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""posi8""}, {""start"": 30, ""end"": 37, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 38, ""end"": 47, ""type"": ""DistneValue"", ""entity"": ""not equal""}, {""start"": 48, ""end"": 50, ""type"": ""Parameter"", ""entity"": ""20""}, {""start"": 50, ""end"": 50, ""type"": ""DESC"", ""entity"": "".""}]"
7,The length between AqWsH and ByFt9R should be different than 8,"[{""start"": 0, ""end"": 18, ""type"": ""DESC"", ""entity"": ""The length between""}, {""start"": 19, ""end"": 24, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""AqWsH""}, {""start"": 24, ""end"": 28, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 29, ""end"": 35, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""ByFt9R""}, {""start"": 35, ""end"": 45, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 46, ""end"": 60, ""type"": ""DistneValue"", ""entity"": ""different than""}, {""start"": 61, ""end"": 62, ""type"": ""Parameter"", ""entity"": ""8""}, {""start"": 62, ""end"": 61, ""type"": ""DESC"", ""entity"": """"}]"
8,The gap between node5 and node9 should not exceed 12.,"[{""start"": 0, ""end"": 15, ""type"": ""DESC"", ""entity"": ""The gap between""}, {""start"": 16, ""end"": 21, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""node5""}, {""start"": 21, ""end"": 25, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 26, ""end"": 31, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""node9""}, {""start"": 31, ""end"": 38, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 39, ""end"": 49, ""type"": ""DistneValue"", ""entity"": ""not exceed""}, {""start"": 50, ""end"": 52, ""type"": ""Parameter"", ""entity"": ""12""}, {""start"": 52, ""end"": 52, ""type"": ""DESC"", ""entity"": "".""}]"
9,The measure of separation between vertex4 and vertex8 must not be equal to 15.,"[{""start"": 0, ""end"": 33, ""type"": ""DESC"", ""entity"": ""The measure of separation between""}, {""start"": 34, ""end"": 41, ""type"": ""Dist_Left_Elm_1"", ""entity"": ""vertex4""}, {""start"": 41, ""end"": 45, ""type"": ""DESC"", ""entity"": "" and""}, {""start"": 46, ""end"": 53, ""type"": ""Dist_Left_Elm_2"", ""entity"": ""vertex8""}, {""start"": 53, ""end"": 58, ""type"": ""DESC"", ""entity"": "" must""}, {""start"": 59, ""end"": 74, ""type"": ""DistneValue"", ""entity"": ""not be equal to""}, {""start"": 75, ""end"": 77, ""type"": ""Parameter"", ""entity"": ""15""}, {""start"": 77, ""end"": 77, ""type"": ""DESC"", ""entity"": "".""}]"
