,problem,problem_entities
0,The separation between point1 and point 3 should not equal the separation between point8 and point9.,"[{""start"": 0, ""end"": 22, ""type"": ""DESC"", ""entity"": ""The separation between""}, {""start"": 23, ""end"": 41, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""point1 and point 3""}, {""start"": 41, ""end"": 48, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 49, ""end"": 58, ""type"": ""ne"", ""entity"": ""not equal""}, {""start"": 58, ""end"": 81, ""type"": ""DESC"", ""entity"": "" the separation between""}, {""start"": 82, ""end"": 99, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""point8 and point9""}, {""start"": 99, ""end"": 99, ""type"": ""DESC"", ""entity"": "".""}]"
1,The gap from location1 to location2 must not match the gap from location4 to location8.,"[{""start"": 0, ""end"": 12, ""type"": ""DESC"", ""entity"": ""The gap from""}, {""start"": 13, ""end"": 35, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""location1 to location2""}, {""start"": 35, ""end"": 40, ""type"": ""DESC"", ""entity"": "" must""}, {""start"": 41, ""end"": 50, ""type"": ""ne"", ""entity"": ""not match""}, {""start"": 50, ""end"": 63, ""type"": ""DESC"", ""entity"": "" the gap from""}, {""start"": 64, ""end"": 86, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""location4 to location8""}, {""start"": 86, ""end"": 86, ""type"": ""DESC"", ""entity"": "".""}]"
2,The interval between checkpoint2 and checkpoint1 ought to differ from the interval between checkpoint9 and checkpoint19.,"[{""start"": 0, ""end"": 20, ""type"": ""DESC"", ""entity"": ""The interval between""}, {""start"": 21, ""end"": 48, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""checkpoint2 and checkpoint1""}, {""start"": 48, ""end"": 57, ""type"": ""DESC"", ""entity"": "" ought to""}, {""start"": 58, ""end"": 64, ""type"": ""ne"", ""entity"": ""differ""}, {""start"": 64, ""end"": 90, ""type"": ""DESC"", ""entity"": "" from the interval between""}, {""start"": 91, ""end"": 119, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""checkpoint9 and checkpoint19""}, {""start"": 119, ""end"": 119, ""type"": ""DESC"", ""entity"": "".""}]"
3,The space separating spot1 and spot2 should not mirror the space separating spot3 and spot2.,"[{""start"": 0, ""end"": 20, ""type"": ""DESC"", ""entity"": ""The space separating""}, {""start"": 21, ""end"": 36, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""spot1 and spot2""}, {""start"": 36, ""end"": 43, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 44, ""end"": 54, ""type"": ""ne"", ""entity"": ""not mirror""}, {""start"": 54, ""end"": 75, ""type"": ""DESC"", ""entity"": "" the space separating""}, {""start"": 76, ""end"": 91, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""spot3 and spot2""}, {""start"": 91, ""end"": 91, ""type"": ""DESC"", ""entity"": "".""}]"
4,The span between node9 and node 7 must contrast with the span between node88 and node 7.,"[{""start"": 0, ""end"": 16, ""type"": ""DESC"", ""entity"": ""The span between""}, {""start"": 17, ""end"": 33, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""node9 and node 7""}, {""start"": 33, ""end"": 38, ""type"": ""DESC"", ""entity"": "" must""}, {""start"": 39, ""end"": 47, ""type"": ""ne"", ""entity"": ""contrast""}, {""start"": 47, ""end"": 69, ""type"": ""DESC"", ""entity"": "" with the span between""}, {""start"": 70, ""end"": 87, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""node88 and node 7""}, {""start"": 87, ""end"": 87, ""type"": ""DESC"", ""entity"": "".""}]"
5,The distance from destination 1 to destination 2 should not replicate the distance from destination 3 to destination 4.,"[{""start"": 0, ""end"": 17, ""type"": ""DESC"", ""entity"": ""The distance from""}, {""start"": 18, ""end"": 48, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""destination 1 to destination 2""}, {""start"": 48, ""end"": 55, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 56, ""end"": 69, ""type"": ""ne"", ""entity"": ""not replicate""}, {""start"": 69, ""end"": 87, ""type"": ""DESC"", ""entity"": "" the distance from""}, {""start"": 88, ""end"": 118, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""destination 3 to destination 4""}, {""start"": 118, ""end"": 118, ""type"": ""DESC"", ""entity"": "".""}]"
6,The measure of separation between reference point1 and reference point2 should deviate from the measure of separation between reference point9 and reference point10.,"[{""start"": 0, ""end"": 33, ""type"": ""DESC"", ""entity"": ""The measure of separation between""}, {""start"": 34, ""end"": 71, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""reference point1 and reference point2""}, {""start"": 71, ""end"": 78, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 79, ""end"": 86, ""type"": ""ne"", ""entity"": ""deviate""}, {""start"": 86, ""end"": 125, ""type"": ""DESC"", ""entity"": "" from the measure of separation between""}, {""start"": 126, ""end"": 164, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""reference point9 and reference point10""}, {""start"": 164, ""end"": 164, ""type"": ""DESC"", ""entity"": "".""}]"
7,The length between landmark3 and landmark4 must be dissimilar to the length between landmark5 and landmark99.,"[{""start"": 0, ""end"": 18, ""type"": ""DESC"", ""entity"": ""The length between""}, {""start"": 19, ""end"": 43, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""landmark3 and landmark4 ""}, {""start"": 43, ""end"": 50, ""type"": ""DESC"", ""entity"": ""must be""}, {""start"": 51, ""end"": 61, ""type"": ""ne"", ""entity"": ""dissimilar""}, {""start"": 61, ""end"": 83, ""type"": ""DESC"", ""entity"": "" to the length between""}, {""start"": 84, ""end"": 108, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""landmark5 and landmark99""}, {""start"": 108, ""end"": 108, ""type"": ""DESC"", ""entity"": "".""}]"
8,The gap between position 3 and position 8 should not resemble the gap between position 9 and position 10.,"[{""start"": 0, ""end"": 15, ""type"": ""DESC"", ""entity"": ""The gap between""}, {""start"": 16, ""end"": 41, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""position 3 and position 8""}, {""start"": 41, ""end"": 48, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 49, ""end"": 61, ""type"": ""ne"", ""entity"": ""not resemble""}, {""start"": 61, ""end"": 77, ""type"": ""DESC"", ""entity"": "" the gap between""}, {""start"": 78, ""end"": 104, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""position 9 and position 10""}, {""start"": 104, ""end"": 104, ""type"": ""DESC"", ""entity"": "".""}]"
9,The difference in distance between marker1 and marker2 should be distinct from the difference in distance between marker3 and marker 9.,"[{""start"": 0, ""end"": 34, ""type"": ""DESC"", ""entity"": ""The difference in distance between""}, {""start"": 35, ""end"": 54, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""marker1 and marker2""}, {""start"": 54, ""end"": 61, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 62, ""end"": 73, ""type"": ""ne"", ""entity"": ""be distinct""}, {""start"": 73, ""end"": 113, ""type"": ""DESC"", ""entity"": "" from the difference in distance between""}, {""start"": 114, ""end"": 134, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""marker3 and marker 9""}, {""start"": 134, ""end"": 134, ""type"": ""DESC"", ""entity"": "".""}]"
