,problem,problem_entities
0,cell1 should be greater than cell2,"[{""start"": 0, ""end"": 5, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""cell1""}, {""start"": 5, ""end"": 15, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 16, ""end"": 28, ""type"": ""gt"", ""entity"": ""greater than""}, {""start"": 29, ""end"": 34, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""cell2""}, {""start"": 34, ""end"": 33, ""type"": ""DESC"", ""entity"": """"}]"
1,cell3 should be greater than cell5,"[{""start"": 0, ""end"": 5, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""cell3""}, {""start"": 5, ""end"": 15, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 16, ""end"": 28, ""type"": ""gt"", ""entity"": ""greater than""}, {""start"": 29, ""end"": 34, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""cell5""}, {""start"": 34, ""end"": 33, ""type"": ""DESC"", ""entity"": """"}]"
2,dog1 should be less or equal to dog2,"[{""start"": 0, ""end"": 4, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""dog1""}, {""start"": 4, ""end"": 14, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 15, ""end"": 28, ""type"": ""le"", ""entity"": ""less or equal""}, {""start"": 28, ""end"": 31, ""type"": ""DESC"", ""entity"": "" to""}, {""start"": 32, ""end"": 36, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""dog2""}, {""start"": 36, ""end"": 35, ""type"": ""DESC"", ""entity"": """"}]"
3,family1 should be less or equal to family9,"[{""start"": 0, ""end"": 7, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""family1""}, {""start"": 7, ""end"": 17, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 18, ""end"": 31, ""type"": ""le"", ""entity"": ""less or equal""}, {""start"": 31, ""end"": 34, ""type"": ""DESC"", ""entity"": "" to""}, {""start"": 35, ""end"": 42, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""family9""}, {""start"": 42, ""end"": 41, ""type"": ""DESC"", ""entity"": """"}]"
4,Cat1 should be greater or equal to cat2,"[{""start"": 0, ""end"": 4, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""Cat1""}, {""start"": 4, ""end"": 14, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 15, ""end"": 31, ""type"": ""ge"", ""entity"": ""greater or equal""}, {""start"": 31, ""end"": 34, ""type"": ""DESC"", ""entity"": "" to""}, {""start"": 35, ""end"": 39, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""cat2""}, {""start"": 39, ""end"": 38, ""type"": ""DESC"", ""entity"": """"}]"
5,element3 should be greater or equal to cheeze4,"[{""start"": 0, ""end"": 8, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""element3""}, {""start"": 8, ""end"": 18, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 19, ""end"": 35, ""type"": ""ge"", ""entity"": ""greater or equal""}, {""start"": 35, ""end"": 38, ""type"": ""DESC"", ""entity"": "" to""}, {""start"": 39, ""end"": 46, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""cheeze4""}, {""start"": 46, ""end"": 45, ""type"": ""DESC"", ""entity"": """"}]"
6,drink2 should be less than drink4,"[{""start"": 0, ""end"": 6, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""drink2""}, {""start"": 6, ""end"": 16, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 17, ""end"": 26, ""type"": ""lt"", ""entity"": ""less than""}, {""start"": 27, ""end"": 33, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""drink4""}, {""start"": 33, ""end"": 32, ""type"": ""DESC"", ""entity"": """"}]"
7,computer10 should be less than mouse19,"[{""start"": 0, ""end"": 10, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""computer10""}, {""start"": 10, ""end"": 20, ""type"": ""DESC"", ""entity"": "" should be""}, {""start"": 21, ""end"": 30, ""type"": ""lt"", ""entity"": ""less than""}, {""start"": 31, ""end"": 38, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""mouse19""}, {""start"": 38, ""end"": 37, ""type"": ""DESC"", ""entity"": """"}]"
8,brand5 should be the same as drink3,"[{""start"": 0, ""end"": 6, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""brand5""}, {""start"": 6, ""end"": 13, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 14, ""end"": 28, ""type"": ""eq"", ""entity"": ""be the same as""}, {""start"": 29, ""end"": 35, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""drink3""}, {""start"": 35, ""end"": 34, ""type"": ""DESC"", ""entity"": """"}]"
9,paper5 should be equal to cable3,"[{""start"": 0, ""end"": 6, ""type"": ""CONST_ELMS_LEFT"", ""entity"": ""paper5""}, {""start"": 6, ""end"": 13, ""type"": ""DESC"", ""entity"": "" should""}, {""start"": 14, ""end"": 23, ""type"": ""eq"", ""entity"": ""be equal ""}, {""start"": 23, ""end"": 25, ""type"": ""DESC"", ""entity"": ""to""}, {""start"": 26, ""end"": 32, ""type"": ""CONST_ELMS_RIGHT"", ""entity"": ""cable3""}, {""start"": 32, ""end"": 31, ""type"": ""DESC"", ""entity"": """"}]"
